epsilon,alpha,prob_empirica,array_size,c,time
0.400000, 0.425000, 0.800000, 65536, 32769, 0.014122
0.400000, 0.450000, 0.800000, 65536, 32769, 0.014143
0.400000, 0.475000, 0.800000, 65536, 32769, 0.014124
0.400000, 0.500000, 0.800000, 65536, 32769, 0.013974
0.425000, 0.025000, 0.850000, 65536, 32769, 0.014175
0.425000, 0.050000, 0.850000, 65536, 32769, 0.014173
0.425000, 0.075000, 0.850000, 65536, 32769, 0.013976
0.425000, 0.100000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.125000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.150000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.175000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.200000, 0.850000, 65536, 32769, 0.014175
0.425000, 0.225000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.250000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.275000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.300000, 0.850000, 65536, 32769, 0.013976
0.425000, 0.325000, 0.850000, 65536, 32769, 0.014173
0.425000, 0.350000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.375000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.400000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.425000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.450000, 0.850000, 65536, 32769, 0.014176
0.425000, 0.475000, 0.850000, 65536, 32769, 0.014177
0.425000, 0.500000, 0.850000, 65536, 32769, 0.014177
0.450000, 0.025000, 0.900000, 65536, 32769, 0.014177
0.450000, 0.050000, 0.900000, 65536, 32769, 0.014177
0.450000, 0.075000, 0.900000, 65536, 32769, 0.014175
0.450000, 0.100000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.125000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.150000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.175000, 0.900000, 65536, 32769, 0.013976
0.450000, 0.200000, 0.900000, 65536, 32769, 0.014177
0.450000, 0.225000, 0.900000, 65536, 32769, 0.014177
0.450000, 0.250000, 0.900000, 65536, 32769, 0.014178
0.450000, 0.275000, 0.900000, 65536, 32769, 0.014175
0.450000, 0.300000, 0.900000, 65536, 32769, 0.014178
0.450000, 0.325000, 0.900000, 65536, 32769, 0.013977
0.450000, 0.350000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.375000, 0.900000, 65536, 32769, 0.014177
0.450000, 0.400000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.425000, 0.900000, 65536, 32769, 0.014176
0.450000, 0.450000, 0.900000, 65536, 32769, 0.014178
0.450000, 0.475000, 0.900000, 65536, 32769, 0.013976
0.450000, 0.500000, 0.900000, 65536, 32769, 0.014177
0.475000, 0.025000, 0.950000, 65536, 32769, 0.014173
0.475000, 0.050000, 0.950000, 65536, 32769, 0.014177
0.475000, 0.075000, 0.950000, 65536, 32769, 0.014176
0.475000, 0.100000, 0.950000, 65536, 32769, 0.013977
0.475000, 0.125000, 0.950000, 65536, 32769, 0.014267
0.475000, 0.150000, 0.950000, 65536, 32769, 0.014144
0.475000, 0.175000, 0.950000, 65536, 32769, 0.014152
0.475000, 0.200000, 0.950000, 65536, 32769, 0.014227
0.475000, 0.225000, 0.950000, 65536, 32769, 0.014073
0.475000, 0.250000, 0.950000, 65536, 32769, 0.014186
0.475000, 0.275000, 0.950000, 65536, 32769, 0.014174
0.475000, 0.300000, 0.950000, 65536, 32769, 0.014175
0.475000, 0.325000, 0.950000, 65536, 32769, 0.014175
0.475000, 0.350000, 0.950000, 65536, 32769, 0.013973
0.475000, 0.375000, 0.950000, 65536, 32769, 0.014176
0.475000, 0.400000, 0.950000, 65536, 32769, 0.014174
0.475000, 0.425000, 0.950000, 65536, 32769, 0.014174
0.475000, 0.450000, 0.950000, 65536, 32769, 0.014169
0.475000, 0.475000, 0.950000, 65536, 32769, 0.014270
0.475000, 0.500000, 0.950000, 65536, 32769, 0.014176
0.500000, 0.025000, 0.500000, 65536, 32769, 0.006987
0.500000, 0.050000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.075000, 0.500000, 65536, 32769, 0.006989
0.500000, 0.100000, 0.500000, 65536, 32769, 0.007184
0.500000, 0.125000, 0.500000, 65536, 32769, 0.006989
0.500000, 0.150000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.175000, 0.500000, 65536, 32769, 0.006988
0.500000, 0.200000, 0.500000, 65536, 32769, 0.006990
0.500000, 0.225000, 0.500000, 65536, 32769, 0.007186
0.500000, 0.250000, 0.500000, 65536, 32769, 0.006988
0.500000, 0.275000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.300000, 0.500000, 65536, 32769, 0.006987
0.500000, 0.325000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.350000, 0.500000, 65536, 32769, 0.006988
0.500000, 0.375000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.400000, 0.500000, 65536, 32769, 0.006989
0.500000, 0.425000, 0.500000, 65536, 32769, 0.007188
0.500000, 0.450000, 0.500000, 65536, 32769, 0.006988
0.500000, 0.475000, 0.500000, 65536, 32769, 0.007057
0.500000, 0.500000, 0.500000, 65536, 32769, 0.007109
0.025000, 0.025000, 0.975000, 131072, 65537, 0.579085
0.025000, 0.050000, 0.975000, 131072, 65537, 0.578785
0.025000, 0.075000, 0.975000, 131072, 65537, 0.578620
0.025000, 0.100000, 0.975000, 131072, 65537, 0.578306
0.025000, 0.125000, 0.975000, 131072, 65537, 0.578082
0.025000, 0.150000, 0.975000, 131072, 65537, 0.578108
0.025000, 0.175000, 0.975000, 131072, 65537, 0.578230
0.025000, 0.200000, 0.975000, 131072, 65537, 0.578086
0.025000, 0.225000, 0.975000, 131072, 65537, 0.578190
0.025000, 0.250000, 0.975000, 131072, 65537, 0.578389
0.025000, 0.275000, 0.975000, 131072, 65537, 0.578123
0.025000, 0.300000, 0.975000, 131072, 65537, 0.578442
0.025000, 0.325000, 0.975000, 131072, 65537, 0.578097
0.025000, 0.350000, 0.975000, 131072, 65537, 0.577974
0.025000, 0.375000, 0.975000, 131072, 65537, 0.578375
0.025000, 0.400000, 0.975000, 131072, 65537, 0.578785
0.025000, 0.425000, 0.975000, 131072, 65537, 0.578442
0.025000, 0.450000, 0.975000, 131072, 65537, 0.578125
0.025000, 0.475000, 0.975000, 131072, 65537, 0.578283
0.025000, 0.500000, 0.975000, 131072, 65537, 0.578203
0.050000, 0.025000, 0.950000, 131072, 65537, 0.281701
0.050000, 0.050000, 0.950000, 131072, 65537, 0.281787
0.050000, 0.075000, 0.950000, 131072, 65537, 0.281753
0.050000, 0.100000, 0.950000, 131072, 65537, 0.281598
0.050000, 0.125000, 0.950000, 131072, 65537, 0.281637
0.050000, 0.150000, 0.950000, 131072, 65537, 0.281794
0.050000, 0.175000, 0.950000, 131072, 65537, 0.281642
0.050000, 0.200000, 0.950000, 131072, 65537, 0.281615
0.050000, 0.225000, 0.950000, 131072, 65537, 0.281651
0.050000, 0.250000, 0.950000, 131072, 65537, 0.281440
0.050000, 0.275000, 0.950000, 131072, 65537, 0.281791
0.050000, 0.300000, 0.950000, 131072, 65537, 0.281802
0.050000, 0.325000, 0.950000, 131072, 65537, 0.281621
0.050000, 0.350000, 0.950000, 131072, 65537, 0.281814
0.050000, 0.375000, 0.950000, 131072, 65537, 0.281416
0.050000, 0.400000, 0.950000, 131072, 65537, 0.282148
0.050000, 0.425000, 0.950000, 131072, 65537, 0.281750
0.050000, 0.450000, 0.950000, 131072, 65537, 0.281786
0.050000, 0.475000, 0.950000, 131072, 65537, 0.281882
0.050000, 0.500000, 0.950000, 131072, 65537, 0.281678
0.075000, 0.025000, 0.975000, 131072, 65537, 0.193325
0.075000, 0.050000, 0.975000, 131072, 65537, 0.192681
0.075000, 0.075000, 0.975000, 131072, 65537, 0.192719
0.075000, 0.100000, 0.975000, 131072, 65537, 0.192704
0.075000, 0.125000, 0.975000, 131072, 65537, 0.192694
0.075000, 0.150000, 0.975000, 131072, 65537, 0.192903
0.075000, 0.175000, 0.975000, 131072, 65537, 0.192871
0.075000, 0.200000, 0.975000, 131072, 65537, 0.192647
0.075000, 0.225000, 0.975000, 131072, 65537, 0.192709
